dimension,train,test,scaling,pca_comp,whiten,model,metric,score,date
categorical,bal_pmdeamo,dixon,standard,1,True,SVRrbf,accuracy,0.3,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,1,True,SVRlin,accuracy,0.33,2019-12-21_09-57-02
valence,pmemo,deam,standard,2,True,Ridge,rmse,0.148,2019-12-21_09-57-02
valence,pmemo,deam,standard,2,True,Ridge,r2,-0.01,2019-12-21_09-57-02
arousal,pmemo,deam,standard,2,True,Ridge,rmse,0.166,2019-12-21_09-57-02
arousal,pmemo,deam,standard,2,True,Ridge,r2,-0.07,2019-12-21_09-57-02
valence,pmemo,deam,standard,2,True,SVRrbf,rmse,0.128,2019-12-21_09-57-02
valence,pmemo,deam,standard,2,True,SVRrbf,r2,0.24,2019-12-21_09-57-02
arousal,pmemo,deam,standard,2,True,SVRrbf,rmse,0.194,2019-12-21_09-57-02
arousal,pmemo,deam,standard,2,True,SVRrbf,r2,-0.45,2019-12-21_09-57-02
valence,pmemo,deam,standard,2,True,SVRlin,rmse,0.149,2019-12-21_09-57-02
valence,pmemo,deam,standard,2,True,SVRlin,r2,-0.03,2019-12-21_09-57-02
arousal,pmemo,deam,standard,2,True,SVRlin,rmse,0.167,2019-12-21_09-57-02
arousal,pmemo,deam,standard,2,True,SVRlin,r2,-0.08,2019-12-21_09-57-02
valence,deam,pmemo,standard,2,True,Ridge,rmse,0.163,2019-12-21_09-57-02
valence,deam,pmemo,standard,2,True,Ridge,r2,-0.02,2019-12-21_09-57-02
arousal,deam,pmemo,standard,2,True,Ridge,rmse,0.162,2019-12-21_09-57-02
arousal,deam,pmemo,standard,2,True,Ridge,r2,0.22,2019-12-21_09-57-02
valence,deam,pmemo,standard,2,True,SVRrbf,rmse,0.156,2019-12-21_09-57-02
valence,deam,pmemo,standard,2,True,SVRrbf,r2,0.07,2019-12-21_09-57-02
arousal,deam,pmemo,standard,2,True,SVRrbf,rmse,0.191,2019-12-21_09-57-02
arousal,deam,pmemo,standard,2,True,SVRrbf,r2,-0.08,2019-12-21_09-57-02
valence,deam,pmemo,standard,2,True,SVRlin,rmse,0.183,2019-12-21_09-57-02
valence,deam,pmemo,standard,2,True,SVRlin,r2,-0.28,2019-12-21_09-57-02
arousal,deam,pmemo,standard,2,True,SVRlin,rmse,0.157,2019-12-21_09-57-02
arousal,deam,pmemo,standard,2,True,SVRlin,r2,0.27,2019-12-21_09-57-02
valence,pmemo,minideam,standard,2,True,Ridge,rmse,0.149,2019-12-21_09-57-02
valence,pmemo,minideam,standard,2,True,Ridge,r2,-0.04,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,2,True,Ridge,rmse,0.169,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,2,True,Ridge,r2,-0.09,2019-12-21_09-57-02
valence,pmemo,minideam,standard,2,True,SVRrbf,rmse,0.126,2019-12-21_09-57-02
valence,pmemo,minideam,standard,2,True,SVRrbf,r2,0.26,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,2,True,SVRrbf,rmse,0.197,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,2,True,SVRrbf,r2,-0.48,2019-12-21_09-57-02
valence,pmemo,minideam,standard,2,True,SVRlin,rmse,0.15,2019-12-21_09-57-02
valence,pmemo,minideam,standard,2,True,SVRlin,r2,-0.05,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,2,True,SVRlin,rmse,0.17,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,2,True,SVRlin,r2,-0.1,2019-12-21_09-57-02
valence,minideam,pmemo,standard,2,True,Ridge,rmse,0.166,2019-12-21_09-57-02
valence,minideam,pmemo,standard,2,True,Ridge,r2,-0.06,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,2,True,Ridge,rmse,0.165,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,2,True,Ridge,r2,0.19,2019-12-21_09-57-02
valence,minideam,pmemo,standard,2,True,SVRrbf,rmse,0.153,2019-12-21_09-57-02
valence,minideam,pmemo,standard,2,True,SVRrbf,r2,0.1,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,2,True,SVRrbf,rmse,0.207,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,2,True,SVRrbf,r2,-0.26,2019-12-21_09-57-02
valence,minideam,pmemo,standard,2,True,SVRlin,rmse,0.188,2019-12-21_09-57-02
valence,minideam,pmemo,standard,2,True,SVRlin,r2,-0.35,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,2,True,SVRlin,rmse,0.163,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,2,True,SVRlin,r2,0.22,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,2,True,Ridge,rmse,0.151,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,2,True,Ridge,r2,-0.06,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,2,True,Ridge,rmse,0.197,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,2,True,Ridge,r2,-0.49,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,2,True,SVRrbf,rmse,0.139,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,2,True,SVRrbf,r2,0.1,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,2,True,SVRrbf,rmse,0.22,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,2,True,SVRrbf,r2,-0.87,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,2,True,SVRlin,rmse,0.15,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,2,True,SVRlin,r2,-0.05,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,2,True,SVRlin,rmse,0.2,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,2,True,SVRlin,r2,-0.54,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,2,True,Ridge,rmse,0.153,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,2,True,Ridge,r2,0.1,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,2,True,Ridge,rmse,0.189,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,2,True,Ridge,r2,-0.05,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,2,True,SVRrbf,rmse,0.155,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,2,True,SVRrbf,r2,0.09,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,2,True,SVRrbf,rmse,0.209,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,2,True,SVRrbf,r2,-0.29,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,2,True,SVRlin,rmse,0.161,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,2,True,SVRlin,r2,0.01,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,2,True,SVRlin,rmse,0.172,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,2,True,SVRlin,r2,0.13,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,2,True,Ridge,accuracy,0.36,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,2,True,SVRrbf,accuracy,0.34,2019-12-21_09-57-02
categorical,pmemo,dixon,standard,2,True,SVRlin,accuracy,0.36,2019-12-21_09-57-02
categorical,deam,dixon,standard,2,True,Ridge,accuracy,0.35,2019-12-21_09-57-02
categorical,deam,dixon,standard,2,True,SVRrbf,accuracy,0.3,2019-12-21_09-57-02
categorical,deam,dixon,standard,2,True,SVRlin,accuracy,0.35,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,2,True,Ridge,accuracy,0.35,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,2,True,SVRrbf,accuracy,0.35,2019-12-21_09-57-02
categorical,bal_pmemo,dixon,standard,2,True,SVRlin,accuracy,0.35,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,2,True,Ridge,accuracy,0.34,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,2,True,SVRrbf,accuracy,0.28,2019-12-21_09-57-02
categorical,bal_deam,dixon,standard,2,True,SVRlin,accuracy,0.35,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,2,True,Ridge,accuracy,0.33,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,2,True,SVRrbf,accuracy,0.3,2019-12-21_09-57-02
categorical,pmdeamo,dixon,standard,2,True,SVRlin,accuracy,0.33,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,2,True,Ridge,accuracy,0.33,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,2,True,SVRrbf,accuracy,0.3,2019-12-21_09-57-02
categorical,bal_pmdeamo,dixon,standard,2,True,SVRlin,accuracy,0.32,2019-12-21_09-57-02
valence,pmemo,deam,standard,3,True,Ridge,rmse,0.152,2019-12-21_09-57-02
valence,pmemo,deam,standard,3,True,Ridge,r2,-0.07,2019-12-21_09-57-02
arousal,pmemo,deam,standard,3,True,Ridge,rmse,0.16,2019-12-21_09-57-02
arousal,pmemo,deam,standard,3,True,Ridge,r2,0.01,2019-12-21_09-57-02
valence,pmemo,deam,standard,3,True,SVRrbf,rmse,0.134,2019-12-21_09-57-02
valence,pmemo,deam,standard,3,True,SVRrbf,r2,0.17,2019-12-21_09-57-02
arousal,pmemo,deam,standard,3,True,SVRrbf,rmse,0.172,2019-12-21_09-57-02
arousal,pmemo,deam,standard,3,True,SVRrbf,r2,-0.15,2019-12-21_09-57-02
valence,pmemo,deam,standard,3,True,SVRlin,rmse,0.151,2019-12-21_09-57-02
valence,pmemo,deam,standard,3,True,SVRlin,r2,-0.05,2019-12-21_09-57-02
arousal,pmemo,deam,standard,3,True,SVRlin,rmse,0.16,2019-12-21_09-57-02
arousal,pmemo,deam,standard,3,True,SVRlin,r2,0.01,2019-12-21_09-57-02
valence,deam,pmemo,standard,3,True,Ridge,rmse,0.152,2019-12-21_09-57-02
valence,deam,pmemo,standard,3,True,Ridge,r2,0.12,2019-12-21_09-57-02
arousal,deam,pmemo,standard,3,True,Ridge,rmse,0.162,2019-12-21_09-57-02
arousal,deam,pmemo,standard,3,True,Ridge,r2,0.22,2019-12-21_09-57-02
valence,deam,pmemo,standard,3,True,SVRrbf,rmse,0.148,2019-12-21_09-57-02
valence,deam,pmemo,standard,3,True,SVRrbf,r2,0.17,2019-12-21_09-57-02
arousal,deam,pmemo,standard,3,True,SVRrbf,rmse,0.2,2019-12-21_09-57-02
arousal,deam,pmemo,standard,3,True,SVRrbf,r2,-0.18,2019-12-21_09-57-02
valence,deam,pmemo,standard,3,True,SVRlin,rmse,0.17,2019-12-21_09-57-02
valence,deam,pmemo,standard,3,True,SVRlin,r2,-0.11,2019-12-21_09-57-02
arousal,deam,pmemo,standard,3,True,SVRlin,rmse,0.151,2019-12-21_09-57-02
arousal,deam,pmemo,standard,3,True,SVRlin,r2,0.32,2019-12-21_09-57-02
valence,pmemo,minideam,standard,3,True,Ridge,rmse,0.154,2019-12-21_09-57-02
valence,pmemo,minideam,standard,3,True,Ridge,r2,-0.11,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,3,True,Ridge,rmse,0.163,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,3,True,Ridge,r2,-0.02,2019-12-21_09-57-02
valence,pmemo,minideam,standard,3,True,SVRrbf,rmse,0.134,2019-12-21_09-57-02
valence,pmemo,minideam,standard,3,True,SVRrbf,r2,0.17,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,3,True,SVRrbf,rmse,0.177,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,3,True,SVRrbf,r2,-0.2,2019-12-21_09-57-02
valence,pmemo,minideam,standard,3,True,SVRlin,rmse,0.154,2019-12-21_09-57-02
valence,pmemo,minideam,standard,3,True,SVRlin,r2,-0.1,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,3,True,SVRlin,rmse,0.163,2019-12-21_09-57-02
arousal,pmemo,minideam,standard,3,True,SVRlin,r2,-0.01,2019-12-21_09-57-02
valence,minideam,pmemo,standard,3,True,Ridge,rmse,0.156,2019-12-21_09-57-02
valence,minideam,pmemo,standard,3,True,Ridge,r2,0.07,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,3,True,Ridge,rmse,0.166,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,3,True,Ridge,r2,0.19,2019-12-21_09-57-02
valence,minideam,pmemo,standard,3,True,SVRrbf,rmse,0.142,2019-12-21_09-57-02
valence,minideam,pmemo,standard,3,True,SVRrbf,r2,0.23,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,3,True,SVRrbf,rmse,0.202,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,3,True,SVRrbf,r2,-0.2,2019-12-21_09-57-02
valence,minideam,pmemo,standard,3,True,SVRlin,rmse,0.176,2019-12-21_09-57-02
valence,minideam,pmemo,standard,3,True,SVRlin,r2,-0.19,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,3,True,SVRlin,rmse,0.158,2019-12-21_09-57-02
arousal,minideam,pmemo,standard,3,True,SVRlin,r2,0.27,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,3,True,Ridge,rmse,0.153,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,3,True,Ridge,r2,-0.09,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,3,True,Ridge,rmse,0.173,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,3,True,Ridge,r2,-0.16,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,3,True,SVRrbf,rmse,0.183,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,3,True,SVRrbf,r2,-0.55,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,3,True,SVRrbf,rmse,0.189,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,3,True,SVRrbf,r2,-0.38,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,3,True,SVRlin,rmse,0.156,2019-12-21_09-57-02
valence,bal_pmemo,deam,standard,3,True,SVRlin,r2,-0.13,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,3,True,SVRlin,rmse,0.171,2019-12-21_09-57-02
arousal,bal_pmemo,deam,standard,3,True,SVRlin,r2,-0.13,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,3,True,Ridge,rmse,0.148,2019-12-21_09-57-02
valence,bal_deam,pmemo,standard,3,True,Ridge,r2,0.17,2019-12-21_09-57-02
arousal,bal_deam,pmemo,standard,3,True,Ridge,rmse,0.191,2019-12-21_09-57-02
